subject_id,test_set_name,w1_code,w2_code,control_first,week1_attempted,week2_attempted,berkeley_student,upwork,upwork_20dollars,pre_task_control,pre_task_treat,w1_t1_id,w1_t1_mins,w1_t1_score,w1_t2_id,w1_t2_mins,w1_t2_score,w1_t3_id,w1_t3_mins,w1_t3_score,w1_t1_t2_mins,w1_total_mins,w1_score,w2_t1_id,w2_t1_mins,w2_t1_score,w2_t2_id,w2_t2_mins,w2_t2_score,w2_t3_id,w2_t3_mins,w2_t3_score,w2_t1_t2_mins,w2_total_mins,w2_score,years_experience,w200,w207,w209,first_language,test_language_guess,team_size,age
1,Pangolin,ENS7D8-DXV,84QT7P-GSC,1,1,1,1,0,0,1,1,1,5,88,3,14,100,5,12,0,19,31,63,2,11,88,4,11,0,6,8,0,22,30,59,6,1,1,0,python,python,6-10,46-55
2,Platypus,EC4GJT-SMK,AEEQEN-J2J,0,1,1,1,0,0,1,,1,12,88,3,9,100,5,12,0,21,33,63,2,11,88,4,8,100,6,14,0,19,33,92,3,1,0,0,r,python,6-10,36-45
3,Okapi,A5QMTE-D2P,T6CZBD-HJB,1,1,1,1,0,0,1,1,1,11,0,4,20,100,5,1,0,31,32,33,2,4,100,3,28,0,6,1,0,32,33,67,4,0,1,0,stata,python,0,36-45
4,Saiga,9Z5UDF-ZEP,3V4X72-YRF,0,1,1,1,0,0,1,,1,8,0,4,10,100,5,14,0,18,32,33,2,4,88,3,24,80,6,1,0,28,29,85,10,1,1,0,sql,python,11-20,26-35
5,Armadillo,WTC3DJ-RJK,4BENHU-NUN,1,1,1,1,0,0,1,1,1,4,0,3,25,100,6,1,0,29,30,33,2,9,88,4,15,100,5,6,0,24,30,92,1,1,1,0,python,python,0,46-55
6,Cassowary,JQHT63-A6A,K3H7Q3-DPP,0,1,1,1,0,0,1,1,1,13,77,3,7,80,6,6,33,20,26,63,2,10,0,4,7,100,5,14,37,17,31,33,0,1,0,0,microsoft office 2019,python,0,26-35
7,Hyrax,HFJPHB-FJN,M7BJS4-GTC,1,1,1,1,0,0,1,1,1,8,100,4,9,100,6,10,83,17,27,94,2,4,88,3,11,80,5,14,75,15,29,85,10,0,1,1,c++,python,21+,36-45
8,Wombat,RVM3S9-UP8,MMVQP9-WAB,0,1,1,1,0,0,1,1,1,8,88,4,13,42,6,11,0,21,32,43,2,12,88,3,10,100,5,11,0,22,33,92,2,1,1,1,python,python,0,36-45
9,Pangolin,9CKBRD-ZZ8,79Z4TZ-8CG,1,1,1,1,0,0,1,1,1,11,100,3,9,100,5,12,75,20,32,92,2,7,88,4,18,100,6,8,50,25,33,92,2,0,1,0,python,python,0,26-35
10,Platypus,FUGCYF-WMS,NYCS8Y-58S,0,0,0,1,0,0,,,1,,,3,,,5,,,0,,,2,,,4,,,6,,,,,,3,0,1,1,python,python,12-30,26-35
11,Okapi,VWDVV4-W6X,A9KJ7K-GQ8,1,1,1,1,0,0,1,1,1,5,100,4,8,100,5,11,87,13,24,96,2,2,88,3,9,20,6,16,100,11,27,65,7,0,1,0,python,python,21+,26-35
12,Saiga,KT623X-42Q,VBF38S-2X2,0,0,0,0,0,0,,,1,,,4,,,5,,,0,,,2,,,3,,,6,,,,,,6,0,0,0,python,python,2-5,18-25
13,Armadillo,ATGH7Q-N52,DPCKN2-NF5,1,0,0,0,0,0,,,1,,,3,,,6,,,0,,,2,,,4,,,5,,,,,,2,0,0,0,python,python,2-5,26-35
14,Cassowary,MG7RGD-9R7,D2DG2E-DQZ,0,0,0,0,0,0,,,1,,,3,,,6,,,0,,,2,,,4,,,5,,,,,,0,0,0,0,python,python,6-10,18-25
15,Hyrax,8G8FTA-CNP,G5F2NU-A3A,1,1,1,0,0,0,1,1,1,8,100,4,5,100,6,18,33,13,31,78,2,8,55,3,7,80,5,13,62,15,28,63,10,0,0,0,javascript,javascript,21+,36-45
16,Wombat,HH4HT2-UZB,YTCUQF-XM4,0,1,1,0,0,0,,0,1,3,88,4,6,100,6,19,66,9,28,85,2,,,3,,,5,,,0,0,0,10,0,0,0,c#,python,6-10,26-35
17,Pangolin,7RXR64-7DZ,SJ7QK6-R4F,1,1,1,0,0,0,0,1,1,9,77,3,11,100,5,12,0,20,32,59,2,5,88,4,14,100,6,7,83,19,26,92,10,0,0,0,php,python,2-5,26-35
18,Platypus,Q3A2XR-3VW,NKH74F-92U,0,1,0,0,0,0,,1,1,7,88,3,11,60,5,14,0,18,32,49,2,,,4,,,6,,,0,0,0,4,0,0,0,python,python,2-5,18-25
19,Okapi,KSJC4D-8CY,EQSVXR-C6T,1,1,0,0,0,0,0,1,1,1,0,4,25,0,5,3,0,26,29,0,2,,,3,,,6,,,0,0,0,1,0,0,0,python,python,2-5,36-45
20,Saiga,ASNVD5-TFY,WT4TZR-B3R,0,1,1,0,0,0,1,1,1,15,100,4,13,100,5,4,0,28,32,67,2,5,88,3,8,80,6,14,100,13,27,85,3,1,1,0,python,python,0,36-45
21,Armadillo,PKEQCM-UXF,2K4AFV-GUZ,1,0,0,0,0,0,,,1,,,3,,,6,,,0,,,2,,,4,,,5,,,,,,4,0,0,0,python3,python,12-30,18-25
22,Cassowary,ZJBAVP-GPH,SDXU35-KKU,0,0,0,0,0,0,,,1,,,3,,,6,,,0,,,2,,,4,,,5,,,,,,1,0,0,0,python,python,2-5,18-25
